pk1Lakh
 0.99999    -0.00003
 0.98242     0.00676
 0.94917     0.01832
 0.91097     0.02816
 0.86859     0.03872
 0.82679     0.04923
 0.78447     0.05928
 0.74163     0.06842
 0.69866     0.07655
 0.65580     0.08363
 0.61300     0.08965
 0.56976     0.09463
 0.52563     0.09874
 0.48118     0.10217
 0.43778     0.10475
 0.39551     0.10604
 0.35300     0.10581
 0.30940     0.10423
 0.26612     0.10164
 0.22517     0.09771
 0.18616     0.09175
 0.14752     0.08330
 0.10978     0.07254
 0.07689     0.06008
 0.04762     0.04571
 0.02804     0.03510
 0.01597     0.02575
 0.00774     0.01744
 0.00289     0.01111
 0.00042     0.00590
-0.00020     0.00125
 0.00103    -0.00314
 0.00409    -0.00736
 0.00902    -0.01117
 0.01620    -0.01361
 0.02722    -0.01332
 0.04623    -0.01141
 0.07279    -0.00698
 0.11074    -0.00117
 0.15441     0.00451
 0.19898     0.00982
 0.24339     0.01467
 0.28689     0.01868
 0.33006     0.02159
 0.37399     0.02355
 0.41886     0.02493
 0.46375     0.02584
 0.50814     0.02613
 0.55244     0.02572
 0.59713     0.02473
 0.64231     0.02330
 0.68765     0.02147
 0.73241     0.01927
 0.77639     0.01670
 0.82099     0.01362
 0.86513     0.01023
 0.90899     0.00677
 0.94638     0.00295
 0.98125     0.00110
 0.99999    -0.00009
