Reynolds,File,Angle,Cl,Cd
100000,32,17.0,1.1955,0.19114
100000,32,18.0,1.1652,0.22345
100000,32,19.0,1.186,0.23469
100000,32,20.0,1.1696,0.26686
100000,354,0,0.6267,0.03013
100000,354,1.0,0.6267,0.03013
100000,354,2.0,0.7634,0.03006
100000,354,3.0,0.9112,0.02868
100000,354,4.0,1.1332,0.02421
100000,354,5.0,1.2455,0.02398
100000,354,6.0,1.3836,0.02338
100000,354,7.0,1.4878,0.02399
100000,354,8.0,1.5706,0.02539
100000,354,9.0,1.6314,0.02727
100000,354,10.0,1.6565,0.03002
100000,354,11.0,1.6584,0.0342
100000,354,12.0,1.6332,0.04103
100000,354,13.0,1.5972,0.05178
100000,354,14.0,1.5568,0.06678
100000,354,15.0,1.5125,0.08558
100000,354,16.0,1.5106,0.10076
100000,354,17.0,1.4851,0.12215
100000,354,18.0,1.409,0.15288
100000,354,19.0,1.2464,0.22624
100000,354,20.0,1.2506,0.25456
100000,3,0.0,0.6529,0.026
100000,3,1.0,0.7621,0.02295
100000,3,2.0,0.9139,0.02228
100000,3,3.0,1.0225,0.02165
100000,3,4.0,1.1281,0.02211
100000,3,5.0,1.2374,0.02218
100000,3,6.0,1.3411,0.0223
100000,3,7.0,1.4406,0.02279
100000,3,8.0,1.5057,0.02451
100000,3,9.0,1.5715,0.02817
100000,3,10.0,1.6149,0.03224
100000,3,11.0,1.6407,0.03753
100000,3,12.0,1.639,0.04392
100000,3,13.0,1.6125,0.05137
100000,3,14.0,1.573,0.06376
100000,3,15.0,1.5138,0.08258
100000,3,16.0,1.462,0.10204
100000,3,17.0,1.3804,0.12992
100000,3,18.0,1.1779,0.21255
100000,3,19.0,1.1493,0.2483
100000,3,20.0,1.1334,0.29072
100000,566,0.0,0.7308,0.02348
100000,566,1.0,0.8548,0.02048
100000,566,2.0,0.9838,0.02013
100000,566,3.0,1.1072,0.01991
100000,566,4.0,1.2214,0.02043
100000,566,5.0,1.3298,0.02177
100000,566,6.0,1.4225,0.02325
100000,566,7.0,1.5109,0.02463
100000,566,8.0,1.5955,0.0265
100000,566,9.0,1.6657,0.02855
100000,566,10.0,1.6806,0.03071
100000,566,11.0,1.6842,0.03562
100000,566,12.0,1.6622,0.04402
100000,566,13.0,1.6334,0.05577
100000,566,14.0,1.5522,0.0767
100000,566,15.0,1.5179,0.09381
100000,566,16.0,1.4928,0.11077
100000,566,17.0,1.4213,0.13916
100000,566,18.0,1.3408,0.17666
100000,566,19.0,1.2271,0.24901
100000,566,20.0,1.2273,0.27839
100000,56,0,0.6267,0.03013
100000,56,1.0,0.6267,0.03013
100000,56,2.0,0.7634,0.03006
100000,56,3.0,0.9112,0.02868
100000,56,4.0,1.1332,0.02421
100000,56,5.0,1.2455,0.02398
100000,56,6.0,1.3836,0.02338
100000,56,7.0,1.4878,0.02399
100000,56,8.0,1.5706,0.02539
100000,56,9.0,1.6314,0.02727
100000,56,10.0,1.6565,0.03002
100000,56,11.0,1.6584,0.0342
100000,56,12.0,1.6332,0.04103
100000,56,13.0,1.5972,0.05178
100000,56,14.0,1.5568,0.06678
100000,56,15.0,1.5125,0.08558
100000,56,16.0,1.5106,0.10076
100000,56,17.0,1.4851,0.12215
100000,56,18.0,1.409,0.15288
100000,56,19.0,1.2464,0.22624
100000,56,20.0,1.2506,0.25456
100000,59,0.0,0.5564,0.02592
100000,59,1.0,0.6896,0.02409
100000,59,2.0,0.8468,0.02325
100000,59,3.0,1.0218,0.02077
100000,59,4.0,1.2161,0.01814
100000,59,5.0,1.3488,0.01834
100000,59,6.0,1.4417,0.02006
100000,59,7.0,1.5128,0.02247
100000,59,8.0,1.5498,0.02599
100000,59,9.0,1.5287,0.03478
100000,59,10.0,1.5249,0.04752
100000,59,11.0,1.5396,0.06315
100000,59,12.0,1.5081,0.0828
100000,59,13.0,1.4378,0.10792
100000,59,14.0,1.3613,0.1412
100000,59,15.0,1.294,0.1847
100000,59,16.0,1.2819,0.21863
100000,59,17.0,1.2843,0.25458
100000,59,18.0,1.304,0.28328
100000,59,19.0,1.3293,0.30981
100000,59,20.0,1.3402,0.34749
100000,707bond,0,0.7062,0.0282
100000,707bond,1.0,0.7062,0.0282
100000,707bond,2.0,0.8166,0.02606
100000,707bond,3.0,0.938,0.02336
100000,707bond,4.0,1.0614,0.02213
100000,707bond,5.0,1.1702,0.02193
100000,707bond,6.0,1.271,0.02212
100000,707bond,7.0,1.3708,0.0224
100000,707bond,8.0,1.4536,0.02443
100000,707bond,9.0,1.5276,0.02661
100000,707bond,10.0,1.5855,0.02914
100000,707bond,11.0,1.6105,0.03243
100000,707bond,12.0,1.588,0.03897
100000,707bond,13.0,1.5421,0.05123
100000,707bond,14.0,1.5238,0.06322
100000,707bond,15.0,1.5006,0.07776
100000,707bond,16.0,1.4619,0.09554
100000,707bond,17.0,1.4191,0.11617
100000,707bond,18.0,1.2416,0.17425
100000,707bond,19.0,1.1645,0.22507
100000,707bond,20.0,1.1602,0.25353
100000,77,0.0,0.6867,0.0239
100000,77,1.0,0.7884,0.02321
100000,77,2.0,0.9098,0.02256
100000,77,3.0,1.0246,0.02102
100000,77,4.0,1.1243,0.02169
100000,77,5.0,1.2254,0.02235
100000,77,6.0,1.3244,0.02316
100000,77,7.0,1.4189,0.02384
100000,77,8.0,1.502,0.02513
100000,77,9.0,1.5711,0.02772
100000,77,10.0,1.622,0.03184
100000,77,11.0,1.6544,0.03732
100000,77,12.0,1.6513,0.04265
100000,77,13.0,1.6397,0.0514
100000,77,14.0,1.6091,0.06191
100000,77,15.0,1.5603,0.0772
100000,77,16.0,1.2611,0.15233
100000,77,17.0,1.1921,0.1926
100000,77,18.0,1.2057,0.20223
100000,77,19.0,1.1836,0.23586
100000,77,20.0,1.171,0.26793
100000,7,0,0.7133,0.02744
100000,7,1.0,0.7133,0.02744
100000,7,2.0,0.8594,0.0253
100000,7,3.0,1.0051,0.02271
100000,7,4.0,1.1264,0.02206
100000,7,5.0,1.2508,0.02125
100000,7,6.0,1.347,0.02176
100000,7,7.0,1.4323,0.0227
100000,7,8.0,1.4741,0.02366
100000,7,9.0,1.509,0.02621
100000,7,10.0,1.4943,0.0319
100000,7,11.0,1.4378,0.04451
100000,7,12.0,1.4096,0.05738
100000,7,13.0,1.3771,0.07301
100000,7,14.0,1.3395,0.09149
100000,7,15.0,1.3347,0.10418
100000,7,16.0,1.3308,0.11942
100000,7,17.0,1.2785,0.14659
100000,7,18.0,1.2199,0.18089
100000,7,19.0,1.1767,0.22117
100000,7,20.0,1.172,0.25734
100000,88,0,0.0,0.0
100000,88,1,0.0,0.0
100000,88,2,0.0,0.0
100000,88,3,0.0,0.0
100000,88,4,0.0,0.0
100000,88,5,0.0,0.0
100000,88,6,0.0,0.0
100000,88,7,0.0,0.0
100000,88,8,0.0,0.0
100000,88,9,0.0,0.0
100000,88,10,0.0,0.0
100000,88,11,0.0,0.0
100000,88,12,0.0,0.0
100000,88,13,0.0,0.0
100000,88,14,0.0,0.0
100000,88,15,0.0,0.0
100000,88,16,0.0,0.0
100000,88,17,0.0,0.0
100000,88,18,0.0,0.0
100000,88,19,0.0,0.0
100000,88,20,0.0,0.0
100000,89,0.0,0.6819,0.02919
100000,89,1.0,0.8442,0.02622
100000,89,2.0,0.9831,0.02223
100000,89,3.0,1.0849,0.02315
100000,89,4.0,1.1879,0.02417
100000,89,5.0,1.2863,0.02573
100000,89,6.0,1.3875,0.02706
100000,89,7.0,1.4896,0.02868
100000,89,8.0,1.5534,0.03059
100000,89,9.0,1.5921,0.03428
100000,89,10.0,1.6432,0.03736
100000,89,11.0,1.7115,0.0409
100000,89,12.0,1.6784,0.04741
100000,89,13.0,1.2901,0.11066
100000,89,14.0,1.2037,0.1449
100000,89,15.0,1.2853,0.14474
100000,89,16.0,1.196,0.18226
100000,89,17.0,1.2653,0.18536
100000,89,18.0,1.2164,0.21906
100000,89,19,1.2164,0.21906
100000,89,20,1.2164,0.21906
100000,8,0,0.8864,0.02621
100000,8,1.0,0.8864,0.02621
100000,8,2.0,1.036,0.02372
100000,8,3.0,1.1539,0.02187
100000,8,4.0,1.2715,0.0214
100000,8,5.0,1.388,0.02125
100000,8,6.0,1.4801,0.02174
100000,8,7.0,1.5629,0.0233
100000,8,8.0,1.5926,0.02511
100000,8,9.0,1.6012,0.02946
100000,8,10.0,1.5502,0.04081
100000,8,11.0,1.5234,0.05311
100000,8,12.0,1.4951,0.06751
100000,8,13.0,1.4549,0.086
100000,8,14.0,1.4363,0.10145
100000,8,15.0,1.445,0.11399
100000,8,16.0,1.3997,0.13933
100000,8,17.0,1.3422,0.17184
100000,8,18.0,1.289,0.21334
100000,8,19.0,1.2788,0.24753
100000,8,20.0,1.2873,0.29082
100000,a18,0.0,0.489,0.01803
100000,a18,1.0,0.6539,0.01778
100000,a18,2.0,0.8004,0.01625
100000,a18,3.0,0.9164,0.01571
100000,a18,4.0,1.0168,0.01584
100000,a18,5.0,1.0879,0.0179
100000,a18,6.0,1.126,0.02695
100000,a18,7.0,1.2156,0.03635
100000,a18,8.0,1.2869,0.05028
100000,a18,9.0,1.2835,0.06901
100000,a18,10,1.2835,0.06901
100000,a18,11,1.2835,0.06901
100000,a18,12,1.2835,0.06901
100000,a18,13,1.2835,0.06901
100000,a18,14,1.2835,0.06901
100000,a18,15,1.2835,0.06901
100000,a18,16,1.2835,0.06901
100000,a18,17,1.2835,0.06901
100000,a18,18,1.2835,0.06901
100000,a18,19,1.2835,0.06901
100000,a18,20,1.2835,0.06901
100000,apkgohan,0,0.6578,0.02092
100000,apkgohan,1.0,0.6578,0.02092
100000,apkgohan,2.0,0.8161,0.01808
100000,apkgohan,3.0,0.9403,0.01764
100000,apkgohan,4.0,1.0499,0.01796
100000,apkgohan,5.0,1.1559,0.01893
100000,apkgohan,6.0,1.2538,0.02058
100000,apkgohan,7.0,1.3472,0.02245
100000,apkgohan,8.0,1.4307,0.02395
100000,apkgohan,9.0,1.5038,0.02546
100000,apkgohan,10.0,1.5529,0.0273
100000,apkgohan,11.0,1.5439,0.03047
100000,apkgohan,12.0,1.51,0.03889
100000,apkgohan,13.0,1.5093,0.04824
100000,apkgohan,14.0,1.5213,0.05824
100000,apkgohan,15.0,1.537,0.06989
100000,apkgohan,16.0,1.5211,0.08517
100000,apkgohan,17.0,1.4829,0.10415
100000,apkgohan,18.0,1.3955,0.13258
100000,apkgohan,19,1.3955,0.13258
100000,apkgohan,20,1.3955,0.13258
100000,cfyf,0.0,0.5946,0.03001
100000,cfyf,1,0.7254,0.026975
100000,cfyf,2.0,0.8562,0.02394
100000,cfyf,3.0,0.955,0.02239
100000,cfyf,4.0,1.0675,0.02264
100000,cfyf,5.0,1.1835,0.02274
100000,cfyf,6.0,1.2839,0.02238
100000,cfyf,7.0,1.3771,0.02313
100000,cfyf,8.0,1.4608,0.02488
100000,cfyf,9.0,1.5186,0.02734
100000,cfyf,10.0,1.5676,0.03148
100000,cfyf,11.0,1.6051,0.03741
100000,cfyf,12.0,1.6149,0.04282
100000,cfyf,13.0,1.6037,0.05236
100000,cfyf,14.0,1.5826,0.06221
100000,cfyf,15.0,1.1734,0.15328
100000,cfyf,16.0,1.2381,0.14754
100000,cfyf,17.0,1.1577,0.19019
100000,cfyf,18.0,1.1288,0.22161
100000,cfyf,19.0,1.1448,0.23618
100000,cfyf,20.0,1.1411,0.26112
100000,com+101,0.0,0.6727,0.02765
100000,com+101,1.0,0.8351,0.02286
100000,com+101,2.0,0.9873,0.01857
100000,com+101,3.0,1.1159,0.01852
